Zeit,PV(W),SOC(%),Batterie(W),Zähler(W),Last(W)
2023-01-01 17:05:00,3769.92,100,96.09,3425,441.01
2023-01-01 17:10:00,2159.46,100,96.09,1804,451.55
2023-01-01 17:15:00,4988.7,100,128.12,4625,491.82
2023-01-01 17:20:00,4675.86,100,96.09,4301,470.95
2023-01-01 17:25:00,4445.04,100,96.09,4100,441.13
2023-01-01 17:30:00,3189.64,100,64.06,2810,443.7
2023-01-01 17:35:00,4747.12,100,96.09,4272,571.21
2023-01-01 17:40:00,3814.3,100,96.09,3334,576.39
2023-01-01 17:45:00,3007.59,100,96.09,2521,582.68
2023-01-01 17:50:00,2772.44,100,128.08,2226,674.52
2023-01-01 17:55:00,2541.59,100,128.08,2004,665.67
2023-01-01 18:00:00,2470.08,100,128.08,1915,683.16
2023-01-01 18:05:00,2468.15,100,96.06,1937,627.21
2023-01-01 18:10:00,2585.25,100,96.06,14,2667.31
2023-01-01 18:15:00,2357.73,100,96.06,1880,573.79
2023-01-01 18:20:00,350.29,100,319.1,19,650.39
2023-01-01 18:25:00,459.38,100,127.64,6,581.02
2023-01-01 18:30:00,502.76,100,95.76,6,592.52
2023-01-01 18:35:00,345.24,100,255.2,0,600.44
2023-01-01 18:40:00,509.3,100,95.64,36,568.94
2023-01-01 18:45:00,344.28,99,223.23,5,562.51
2023-01-01 18:50:00,433.49,99,95.73,49,480.22
2023-01-01 18:55:00,197.82,99,255.2,-10,463.02
2023-01-01 19:00:00,98.11,99,318.6,-4,420.71
2023-01-01 19:05:00,48.77,99,381.96,-5,435.73
2023-01-01 19:10:00,48.76,99,318.3,15,352.06
2023-01-01 19:15:00,0.0,99,350.02,22,328.02
2023-01-01 19:20:00,0.0,98,318.3,-9,327.3
2023-01-01 19:25:00,0.0,98,318.4,-30,348.4
2023-01-01 19:30:00,0.0,97,540.6,-11,551.6
2023-01-01 19:35:00,0.0,97,603.63,-11,614.63
2023-01-01 19:40:00,0.0,97,635.4,-17,652.4
2023-01-01 19:45:00,0.0,97,635.4,-10,645.4
2023-01-01 19:50:00,0.0,96,635.4,-21,656.4
2023-01-01 19:55:00,0.0,95,635.4,-18,653.4
2023-01-01 20:00:00,0.0,95,667.17,21,646.17
2023-01-01 20:05:00,0.0,94,572.4,14,558.4
2023-01-01 20:10:00,0.0,94,540.77,25,515.77
2023-01-01 20:15:00,0.0,94,540.77,24,516.77
2023-01-01 20:20:00,0.0,93,572.58,18,554.58
2023-01-01 20:25:00,0.0,93,508.96,-26,534.96
2023-01-01 20:30:00,0.0,92,509.12,-15,524.12
2023-01-01 20:35:00,0.0,92,540.77,13,527.77
2023-01-01 20:40:00,0.0,92,508.96,-8,516.96
2023-01-01 20:45:00,0.0,92,540.77,7,533.77
2023-01-01 20:50:00,0.0,91,540.77,20,520.77
2023-01-01 20:55:00,0.0,90,508.96,-16,524.96
2023-01-01 21:00:00,0.0,90,508.96,18,490.96
2023-01-01 21:05:00,0.0,90,508.96,-16,524.96
2023-01-01 21:10:00,0.0,90,477.15,-19,496.15
2023-01-01 21:15:00,0.0,89,508.96,-11,519.96
2023-01-01 21:20:00,0.0,89,635.6,27,608.6
2023-01-01 21:25:00,0.0,88,603.82,-15,618.82
2023-01-01 21:30:00,0.0,87,572.04,19,553.04
2023-01-01 21:35:00,0.0,87,571.86,-27,598.86
2023-01-01 21:40:00,0.0,87,572.04,-21,593.04
2023-01-01 21:45:00,0.0,87,603.82,24,579.82
2023-01-01 21:50:00,0.0,86,603.63,37,566.63
2023-01-01 21:55:00,0.0,86,571.86,21,550.86
2023-01-01 22:00:00,0.0,85,508.32,-29,537.32
2023-01-01 22:05:00,0.0,85,571.86,16,555.86
2023-01-01 22:10:00,0.0,84,540.09,-25,565.09
2023-01-01 22:15:00,0.0,84,571.86,16,555.86
2023-01-01 22:20:00,0.0,84,571.86,22,549.86
2023-01-01 22:25:00,0.0,83,571.86,16,555.86
2023-01-01 22:30:00,0.0,83,540.09,-11,551.09
2023-01-01 22:35:00,0.0,83,571.86,16,555.86
2023-01-01 22:40:00,0.0,82,571.86,15,556.86
2023-01-01 22:45:00,0.0,81,539.92,-18,557.92
2023-01-01 22:50:00,0.0,81,571.68,-23,594.68
2023-01-01 22:55:00,0.0,81,508.32,18,490.32
2023-01-01 23:00:00,0.0,80,508.48,20,488.48
2023-01-01 23:05:00,0.0,80,476.7,-21,497.7
2023-01-01 23:10:00,0.0,80,476.55,-14,490.55
2023-01-01 23:15:00,0.0,79,476.55,23,453.55
2023-01-01 23:20:00,0.0,79,508.32,12,496.32
2023-01-01 23:25:00,0.0,79,508.32,17,491.32
2023-01-01 23:30:00,0.0,78,508.16,18,490.16
2023-01-01 23:35:00,0.0,78,508.16,-11,519.16
2023-01-01 23:40:00,0.0,78,508.16,16,492.16
2023-01-01 23:45:00,0.0,77,539.92,16,523.92
2023-01-01 23:50:00,0.0,77,508.16,-15,523.16
2023-01-01 23:55:00,0.0,77,539.75,28,511.75
2023-01-02 00:00:00,0.0,76,539.75,10,529.75
2023-01-02 00:05:00,0.0,76,539.75,18,521.75
2023-01-02 00:10:00,0.0,75,507.84,-15,522.84
2023-01-02 00:15:00,0.0,75,539.58,12,527.58
2023-01-02 00:20:00,0.0,75,507.68,-14,521.68
2023-01-02 00:25:00,0.0,74,507.68,-18,525.68
2023-01-02 00:30:00,0.0,74,507.68,15,492.68
2023-01-02 00:35:00,0.0,74,539.24,16,523.24
2023-01-02 00:40:00,0.0,74,507.52,-7,514.52
2023-01-02 00:45:00,0.0,73,507.36,-6,513.36
2023-01-02 00:50:00,0.0,73,507.2,-9,516.2
2023-01-02 00:55:00,0.0,73,507.2,-18,525.2
2023-01-02 01:00:00,0.0,72,538.73,19,519.73
2023-01-02 01:05:00,0.0,72,506.88,-11,517.88
2023-01-02 01:10:00,0.0,71,633.0,13,620.0
2023-01-02 01:15:00,0.0,71,601.16,-13,614.16
2023-01-02 01:20:00,0.0,70,600.78,-16,616.78
2023-01-02 01:25:00,0.0,70,568.98,-18,586.98
2023-01-02 01:30:00,0.0,70,600.21,15,585.21
2023-01-02 01:35:00,0.0,69,599.83,21,578.83
2023-01-02 01:40:00,0.0,69,599.64,-7,606.64
2023-01-02 01:45:00,0.0,68,599.45,10,589.45
2023-01-02 01:50:00,0.0,68,599.26,31,568.26
2023-01-02 01:55:00,0.0,67,598.88,-15,613.88
2023-01-02 02:00:00,0.0,67,567.18,-20,587.18
2023-01-02 02:05:00,0.0,66,567.0,-32,599.0
2023-01-02 02:10:00,0.0,66,598.12,14,584.12
2023-01-02 02:15:00,0.0,66,566.64,-35,601.64
2023-01-02 02:20:00,0.0,66,597.93,9,588.93
2023-01-02 02:25:00,0.0,65,629.2,25,604.2
2023-01-02 02:30:00,0.0,64,597.55,18,579.55
2023-01-02 02:35:00,0.0,64,629.0,11,618.0
2023-01-02 02:40:00,0.0,64,565.92,-14,579.92
2023-01-02 02:45:00,0.0,63,597.36,20,577.36
2023-01-02 02:50:00,0.0,63,628.6,15,613.6
2023-01-02 02:55:00,0.0,62,753.36,-18,771.36
2023-01-02 03:00:00,0.0,62,534.31,30,504.31
2023-01-02 03:05:00,0.0,62,503.04,-11,514.04
2023-01-02 03:10:00,0.0,61,534.48,8,526.48
2023-01-02 03:15:00,0.0,61,503.04,16,487.04
2023-01-02 03:20:00,0.0,60,502.88,-17,519.88
2023-01-02 03:25:00,0.0,60,534.31,19,515.31
2023-01-02 03:30:00,0.0,60,534.31,16,518.31
2023-01-02 03:35:00,0.0,59,502.72,16,486.72
2023-01-02 03:40:00,0.0,59,502.72,-8,510.72
2023-01-02 03:45:00,0.0,59,502.72,-16,518.72
2023-01-02 03:50:00,0.0,59,502.72,-10,512.72
2023-01-02 03:55:00,0.0,58,502.56,16,486.56
2023-01-02 04:00:00,0.0,58,502.56,-13,515.56
2023-01-02 04:05:00,0.0,57,502.56,-14,516.56
2023-01-02 04:10:00,0.0,57,533.97,28,505.97
2023-01-02 04:15:00,0.0,57,502.56,16,486.56
2023-01-02 04:20:00,0.0,56,439.88,-8,447.88
2023-01-02 04:25:00,0.0,56,440.02,5,435.02
2023-01-02 04:30:00,0.0,56,408.59,-10,418.59
2023-01-02 04:35:00,0.0,55,439.88,9,430.88
2023-01-02 04:40:00,0.0,55,377.04,-6,383.04
2023-01-02 04:45:00,0.0,54,408.59,-17,425.59
2023-01-02 04:50:00,0.0,54,377.04,-10,387.04
2023-01-02 04:55:00,0.0,54,408.59,15,393.59
2023-01-02 05:00:00,0.0,54,345.73,-19,364.73
2023-01-02 05:05:00,0.0,54,408.46,-15,423.46
2023-01-02 05:10:00,0.0,53,377.04,-15,392.04
2023-01-02 05:15:00,0.0,53,345.73,17,328.73
2023-01-02 05:20:00,204.24,53,94.56,29,269.8
2023-01-02 05:25:00,249.19,53,94.62,95,248.81
2023-01-02 05:30:00,283.74,53,94.65,116,262.39
2023-01-02 05:35:00,300.57,53,94.68,169,226.25
2023-01-02 05:40:00,244.17,53,94.68,99,239.85
2023-01-02 05:45:00,312.6,53,94.71,214,193.31
2023-01-02 05:50:00,419.92,53,-190.08,13,216.84
2023-01-02 05:55:00,453.61,53,-253.76,-10,209.85
2023-01-02 06:00:00,458.86,53,-254.08,-2,206.78
2023-01-02 06:05:00,509.45,53,-317.9,-11,202.55
2023-01-02 06:10:00,517.6,54,-254.4,-2,265.2
2023-01-02 06:15:00,531.1,54,-286.47,36,208.63
2023-01-02 06:20:00,457.88,54,-222.81,1,234.07
2023-01-02 06:25:00,360.28,54,-127.16,-4,237.12
2023-01-02 06:30:00,871.44,55,-670.74,-30,230.7
2023-01-02 06:35:00,1154.45,55,-928.58,10,215.87
2023-01-02 06:40:00,1219.01,56,-1090.38,16,112.63
2023-01-02 06:45:00,1154.78,56,-897.68,16,241.1
2023-01-02 06:50:00,785.11,57,-640.0,0,145.11
2023-01-02 06:55:00,1116.95,58,-994.48,6,116.47
2023-01-02 07:00:00,1268.64,59,-1188.44,-11,91.2
2023-01-02 07:05:00,1521.45,60,-1383.31,-4,142.14
2023-01-02 07:10:00,1211.77,60,-1092.42,4,115.35
2023-01-02 07:15:00,1365.52,62,-1222.08,-3,146.44
2023-01-02 07:20:00,1221.78,63,-1093.44,18,110.34
2023-01-02 07:25:00,1360.58,63,-1158.48,13,189.1
2023-01-02 07:30:00,1206.36,64,-998.51,21,186.85
2023-01-02 07:35:00,1319.43,65,-1162.08,-21,178.35
2023-01-02 07:40:00,1497.16,67,-1294.4,10,192.76
2023-01-02 07:45:00,1385.84,67,-1197.32,14,174.52
2023-01-02 07:50:00,1435.0,68,-1165.68,-5,274.32
2023-01-02 07:55:00,1298.65,69,-1133.3,0,165.35
2023-01-02 08:00:00,1039.0,70,-743.59,12,283.41
2023-01-02 08:05:00,779.12,70,-484.2,8,286.92
2023-01-02 08:10:00,815.12,71,-548.59,-9,275.53
2023-01-02 08:15:00,1111.39,72,-808.5,5,297.89
2023-01-02 08:20:00,1150.05,72,-808.75,0,341.3
2023-01-02 08:25:00,1550.25,73,-1199.54,-1,351.71
2023-01-02 08:30:00,2086.14,75,-1756.62,-4,333.52
2023-01-02 08:35:00,2202.63,76,96.51,102,2197.14
2023-01-02 08:40:00,2604.41,77,-2283.4,17,304.01
2023-01-02 08:45:00,2952.72,79,-2645.46,26,281.26
2023-01-02 08:50:00,3652.52,81,-3441.9,10,200.62
2023-01-02 08:55:00,4101.13,84,-3837.6,-9,272.53
2023-01-02 09:00:00,3901.63,85,-3544.56,9,348.07
2023-01-02 09:05:00,2460.18,87,-1923.4,8,528.78
2023-01-02 09:10:00,2702.37,90,-2124.2,-9,587.17
2023-01-02 09:15:00,2553.57,90,-2091.52,-36,498.05
2023-01-02 09:20:00,3157.0,93,-2666.52,-16,506.48
2023-01-02 09:25:00,3090.82,94,-2571.66,22,497.16
2023-01-02 09:30:00,2455.28,99,-1607.69,317,530.59
2023-01-02 09:35:00,2510.65,99,-1623.37,404,483.28
2023-01-02 09:40:00,1965.84,99,-856.44,18,1091.4
2023-01-02 09:45:00,2807.73,100,96.84,1893,1011.57
2023-01-02 09:50:00,3126.1,100,128.84,2253,1001.94
2023-01-02 09:55:00,2937.78,100,128.72,1984,1082.5
2023-01-02 10:00:00,3303.94,100,128.52,3005,427.46
2023-01-02 10:05:00,3220.2,100,128.48,2972,376.68
2023-01-02 10:10:00,3457.18,100,96.33,3257,296.51
2023-01-02 10:15:00,3476.89,100,128.36,3237,368.25
2023-01-02 10:20:00,3329.59,100,128.36,3132,325.95
2023-01-02 10:25:00,2998.24,100,128.32,2740,386.56
2023-01-02 10:30:00,3879.08,100,128.32,3616,391.4
2023-01-02 10:35:00,4129.32,100,128.32,3815,442.64
2023-01-02 10:40:00,4298.06,100,128.28,3902,524.34
2023-01-02 10:45:00,4116.51,100,128.28,3818,426.79
2023-01-02 10:50:00,3134.51,100,128.28,2814,448.79
2023-01-02 10:55:00,2971.08,100,128.28,2667,432.36
2023-01-02 11:00:00,3642.42,100,160.3,3350,452.72
2023-01-02 11:05:00,3670.43,100,96.18,1310,2456.61
2023-01-02 11:10:00,3681.11,100,96.18,1349,2428.29
2023-01-02 11:15:00,2871.74,100,96.18,2410,557.92
2023-01-02 11:20:00,3037.89,100,96.18,2713,421.07
2023-01-02 11:25:00,3177.05,100,96.15,2827,446.2
2023-01-02 11:30:00,2477.42,100,96.15,2057,516.57
2023-01-02 11:35:00,2404.85,100,128.2,2025,508.05
2023-01-02 11:40:00,2002.74,100,128.2,1638,492.94
2023-01-02 11:45:00,2616.75,99,95.76,312,2400.51
2023-01-02 11:50:00,2909.61,98,1805.19,-42,4756.8
2023-01-02 11:55:00,2994.64,98,127.56,382,2740.2
2023-01-02 12:00:00,2975.28,98,95.79,387,2684.07
2023-01-02 12:05:00,4884.65,98,95.85,4357,623.5
2023-01-02 12:10:00,4409.58,98,95.88,3880,625.46
2023-01-02 12:15:00,4840.29,98,95.91,4340,596.2
2023-01-02 12:20:00,5054.4,98,95.94,4376,774.34
2023-01-02 12:25:00,6246.92,98,127.92,5790,584.84
2023-01-02 12:30:00,7266.88,98,127.92,6877,517.8
2023-01-02 12:35:00,7416.91,98,95.97,6987,525.88
2023-01-02 12:40:00,8209.22,98,127.96,5829,2508.18
2023-01-02 12:45:00,16837.92,98,127.96,14142,2823.88
2023-01-02 12:50:00,13531.96,98,127.96,13214,445.92
2023-01-02 12:55:00,14380.7,98,128.0,13296,1212.7
2023-01-02 13:00:00,15371.88,98,128.0,14721,778.88
2023-01-02 13:05:00,16003.2,98,96.0,15123,976.2
2023-01-02 13:10:00,13522.39,98,128.0,12932,718.39
2023-01-02 13:15:00,13622.08,98,96.0,13068,650.08
2023-01-02 13:20:00,12690.15,98,96.0,12244,542.15
2023-01-02 13:25:00,14095.26,98,96.0,13277,914.26
2023-01-02 13:30:00,13965.48,98,96.0,13073,988.48
2023-01-02 13:35:00,14121.7,98,96.0,13319,898.7
2023-01-02 13:40:00,12279.53,98,96.0,11512,863.53
2023-01-02 13:45:00,11038.6,98,128.04,10397,769.64
2023-01-02 13:50:00,10935.89,98,96.03,10191,840.92
2023-01-02 13:55:00,10860.43,98,96.03,10099,857.46
2023-01-02 14:00:00,10793.98,98,96.03,10060,830.01
2023-01-02 14:05:00,10760.46,98,96.03,10212,644.49
